Ticker,Price,MHC_Mean_3M_Return,MHC_AR,MHC_GPR,MHC_QAS
DRUG,83.5,1.5062903484624808,2.502523948823054,25.440899710548184,30.773617859353323
RGC,25.799999237060547,6.260318038108844,1.0391689777674893,111.17186078243492,27.164380324054527
BNAI,18.5049991607666,3.250779530956538,2.0330835732459516,39.24105559867441,24.247025998291754
AXTI,140.8300018310547,1.8897822642233664,1.3372861684061346,1357391.8062362208,23.307475113903138
DFDV,4.070000171661377,2.0146129191415616,2.656441224413473,8.843685369622523,21.541018021879594
ABVX,121.98999786376952,1.2511886623789212,2.9491887298823123,43.81311996505966,16.060445210246456
PRAX,343.55999755859375,1.1269483434589638,2.2290989229336993,1651.4523488119669,15.670015525034351
ANRO,21.219999313354492,0.8469582397188589,1.9145284380718104,570952.3509362175,14.342497185617194
BATL,1.8899999856948853,1.5980176629226086,1.6203608575380164,43.38347345321585,13.72928410277589
TRON,1.909999966621399,1.6877951256155597,2.0046559262120036,7.631705277151092,12.218217922330792
MTC,6.289999961853027,0.958396469392995,1.3443050281908349,806707.7563107659,11.914391610325566
NUAI,4.429999828338623,1.4268160897149649,2.597637716275189,17.21212956419289,11.14716433947194
DMRA,25.299999237060547,1.3759288083881682,2.144676136523265,33.24085456821159,10.949720664051602
LITE,946.9000244140624,0.9006500039568527,0.9927161177614381,1294215.9525135602,10.53517338230859
CELC,138.22999572753906,0.6803200853660594,2.199888322966349,230027.59370304336,10.427258052272602
EDSA,10.460000038146973,1.6046489872206895,2.04956835187732,10.410302692334653,10.076833724336568
BW,19.040000915527344,1.0970211080387031,1.108172789935507,603682.3563543016,9.805862264629042
ZEPP,8.619999885559082,1.1932219874016126,2.013147202353505,6.965341379736367,9.45184077655359
TNGX,20.239999771118164,0.7267511931634969,1.5067500274129328,332600.09007262654,8.870450597966157
LASR,78.54499816894531,0.508042559731204,1.4373122170641137,794095.9697839753,8.73930467573934
XMAX,8.390000343322754,0.5268817375830367,1.188436890314249,884173.7823474131,8.531497342178966
HYMC,32.31999969482422,1.3196915698099743,1.6007867814227057,72.05322104757819,7.936727378285001
ERAS,11.239999771118164,1.3220899672032143,1.7554454979318137,77.41866576562647,7.3754614660679785
AAOI,181.4900054931641,1.0454066818757923,1.6649521505404463,141.22694252926667,7.24394777901049
VIAV,49.5099983215332,0.5066892121871726,1.2975349341391318,374867.48967732274,7.060818998153404
VICR,267.989990234375,0.593465993466249,1.2129499728856707,438137.98430278426,6.968494817533429
WDC,484.2799987792969,0.6043342131419025,1.0551757054409068,366532.8595022289,6.371396965818901
STX,812.72998046875,0.4753796652504319,1.1546251366353102,709319.2480605484,6.326730887471325
CIEN,583.739990234375,0.5947080796100392,1.0957871692564436,373529.5618233293,6.290433323957444
DOCN,158.4600067138672,0.38329372120972705,1.2581708273070595,291540.2311809087,5.942216081925749
CAPR,28.8700008392334,1.0810234149334956,1.8602651320902905,66.05357127034578,5.823726682470578
PL,44.349998474121094,0.6632111697336465,1.0268489548851119,365438.5774801104,5.796936578102205
ANAB,59.709999084472656,0.4596183913206118,1.2078592047376993,322131.33349946013,5.743819136403883
MYRG,446.8999938964844,0.238384923265254,1.833567255656915,356950.84587617934,5.5973557172761605
OPTX,10.68000030517578,0.8995760134239592,1.6671556994261831,39.42829471755031,5.534193205527341
ALM,18.65999984741211,0.6731447592841209,1.4852846034124525,292.56130861421207,5.448412481399389
RLMD,7.039999961853027,0.9603772498339442,0.9642991186480616,484.72477601775023,5.377857563201041
NEXA,14.470000267028809,0.36379488066510146,1.4698392888001028,301506.5224940272,5.175665278666144
TTMI,189.9199981689453,0.4530528160856446,0.9706838752603939,655434.479873329,5.086612320098008
SYRE,74.05000305175781,0.473882974234633,1.281288949884697,373049.93466213904,5.076715275458669
AGX,656.3499755859375,0.42934814691006984,1.246227890730445,232120.51402140723,4.7599486151298045
NEGG,20.270000457763672,0.8516808451763715,1.5585040575054847,6.906363718218595,4.725758317019524
STTK,6.099999904632568,0.6047511801523677,0.9742276789525343,432273.1393529551,4.701483252205132
ORKA,60.61000061035156,0.4964966094459464,1.032882242327187,310380.40167591494,4.6244086973633465
OPEN,4.53000020980835,0.7555693957801544,1.7343236508467625,5.507009857117141,4.341311536668577
INTC,119.83999633789062,0.32973333468991434,1.683017542632616,3014.0199568924054,4.286007714287758
MXL,99.16000366210938,0.4604911338936592,1.8186759892972597,26.489513133495045,4.248851381235256
VSAT,74.55999755859375,0.3919427134615696,1.4292013851318037,153991.5803019409,4.137103239981427
MU,751.0,0.5138498408990074,0.9834587564864294,332116.95837471035,4.124753169771804
COHR,377.5700073242187,0.4673810243735771,0.9273341094644967,307649.5037888871,4.1087643836288645
RLAY,13.529999732971191,0.3875811276342739,1.2810218896429721,268873.6895372606,4.076676332317914
ASST,18.209999084472656,0.6063669802756704,2.3482601535041083,2.89061486154833,3.991103337039366
CSTM,33.2400016784668,0.258905706735117,1.2091594612976224,408370.85676379135,3.9704495220999454
CENX,65.05000305175781,0.3709086684753543,1.1174852429355249,235647.1765848693,3.8945690600383838
FORM,128.99000549316406,0.4799961355701354,1.0314662462249355,364562.99716355064,3.8261649264782758
BE,302.489990234375,0.6702416918904863,1.2516980143890262,214.43970671965496,3.784539033794321
FIX,1828.25,0.3739055672899979,0.8945720905454079,539696.4209027579,3.7480239524735572
FIEE,6.110000133514404,0.8464916446834727,1.394526690094736,21.513652034866624,3.6782075731859085
TDAY,7.559999942779541,0.23288881507126166,1.4927479004465711,143628.99048293813,3.665811804754102
POWL,279.2200012207031,0.3910686207166567,1.0281513331083858,235101.3838758176,3.653630791078163
DNTH,86.4800033569336,0.45114742697682964,1.1374863891377136,293565.4065456906,3.6533894083543275
NAT,5.400000095367432,0.23028416774604538,1.3144635900278723,353662.9004185862,3.627920473749827
STEX,1.2799999713897705,0.5676637495219463,1.7954384869343174,3.3537486397204743,3.611628777176957
ALTO,4.699999809265137,0.6121937783348064,1.2912262536649572,617.4995614834708,3.6014559341249206
IBRX,7.21999979019165,0.7311122309173564,1.9783632142764787,16.389060277475934,3.564757633740915
MTZ,382.1099853515625,0.2866732884952919,1.1168628293041438,395664.817250914,3.4944771702738993
ASX,34.810001373291016,0.3342382469217857,1.1405103147389983,238986.97741865882,3.433642336861238
LBRT,31.84000015258789,0.3157628915147974,1.1611043574473079,259268.4074811762,3.432507890699392
NGL,18.11000061035156,0.3533650437752262,1.0309639911704553,229829.80420234418,3.380627088069249
FIGS,12.539999961853027,0.3115587305458366,1.260963762613039,201178.62259190093,3.3563079326907066
ONDS,9.0600004196167,0.6375008912810171,1.4775992655037502,21.146739644449127,3.3399939667570133
PUMP,16.950000762939453,0.3632230312167345,1.3050579559827593,287261.812536663,3.3153812136501455
FSLY,16.31999969482422,0.5164221350357895,1.5042624536021787,52.382072247734456,3.29954988466442
KOD,36.22999954223633,0.7039060149676305,1.2009213238062444,70.3973104145507,3.2759516699415325
AMAT,432.1600036621094,0.2674184662472013,1.1803002869285235,191355.0086014187,3.228957817922655
SMX,7.760000228881836,0.7623512198795419,2.146003327716728,2.587371168204937,3.2127721669572797
MKSI,320.6199951171875,0.3236541665049498,1.1063366438582658,218272.6075951572,3.1596011270665674
LRCX,305.3500061035156,0.3072722634822421,1.102048570841938,189443.21945570555,3.103377902624388
FTI,70.98999786376953,0.263645529926868,1.1119775747035567,372625.421911971,3.044092836594447
CLYM,11.0,0.8116244316648832,1.2017648230039624,28.996984879276997,3.0313410506540994
KLIC,104.4000015258789,0.27417303977788804,1.1139674958751848,213990.5421502205,3.01477662150407
COGT,32.66999816894531,0.6343402192053764,1.5935096142715508,20.382054157036755,2.999534917017245
NBR,105.41000366210938,0.282830817827953,0.9473123628421659,220320.1041759159,2.9795232720508715
QUBT,12.3100004196167,0.4357604276261178,1.8721264017548314,4.339013880514113,2.9373184031823794
CAT,879.8900146484375,0.21966745229678294,1.123074090734065,324710.62600141665,2.899447492881912
KEYS,346.55999755859375,0.2448494584867512,1.3288173962390453,184681.79115589632,2.8971317368398752
SQM,80.18000030517578,0.24649027431374493,1.2088269430340388,183429.570323767,2.8863910885788138
SPHR,129.3699951171875,0.3554059401023988,0.9878677969963409,219017.24242711166,2.8576955172854617
LWLG,12.850000381469728,0.7430892281278563,1.6080077749375952,11.636590057791055,2.8374613380393527
ROIV,29.959999084472656,0.2678164594524132,1.234005247913269,171159.63977475982,2.8135997805207507
E,54.38999938964844,0.17209117180685224,1.4540020258182906,252501.85479026375,2.806278930560706
LPTH,16.950000762939453,0.4316927849227898,1.2402987523239315,287.0834001021873,2.797637350777611
SLS,7.78000020980835,0.5923730240272083,1.450084279429349,32.17267952355294,2.793611531331871
MTSI,385.9800109863281,0.28776295665307877,1.056168455832059,200194.85551680272,2.7680611787753593
VPG,113.76000213623048,0.2275952679196621,1.0767540191750467,161116.81152030258,2.740911166948375
TER,358.44000244140625,0.41518262844717463,0.8021415410926893,280867.94240912603,2.7223883853814175
KEX,143.33999633789062,0.1463430432171163,1.3659425929798412,118580.26121812385,2.718419158989551
THR,65.70999908447266,0.2498854128926142,1.2610282877009604,202830.1028931598,2.698576762568419
CLMT,34.220001220703125,0.258459082094463,1.216110297672294,165102.06954209114,2.685683530798321
TIGO,85.83999633789062,0.2793050645884564,0.8942264588095487,382407.077044323,2.6441310271870044
GTX,33.290000915527344,0.20260525952141994,1.1308798617161893,298909.785781781,2.6331667619256973
ATI,162.2899932861328,0.2921740610784861,1.1146828802522284,180625.96594446278,2.6314432151662555
GLUE,18.809999465942383,0.518690639985656,1.815871973720451,13.844481398414892,2.6295575595616345
AEHR,95.0199966430664,0.6335878631458748,1.5004505809279596,17.033990440814065,2.6273442898024433
ICHR,68.95999908447266,0.5356498987399292,1.725201158596777,53.19965807684152,2.598908851858384
DFTX,22.5,0.30399233581948426,0.9500688000657266,177766.718402606,2.5681049668922014
BELFB,270.010009765625,0.2804840833090695,1.3087803706717749,139714.87953796913,2.5379608794526534
DHC,8.75,0.27773481202361106,0.7800638860598899,407923.95777213987,2.506094999243488
GLW,194.0500030517578,0.3577791322088558,1.1601765380542781,814.3090510005902,2.495087304742039
ONTO,262.25,0.24613300893410756,0.9776651705438945,198908.5446537032,2.478075997647188
QTTB,5.800000190734863,0.4276247861884532,1.1246597928928204,145.51217305050326,2.473314381998264
EWTX,32.70000076293945,0.2816354707924439,0.9318356096156319,215154.79101405735,2.4664132429881223
AA,71.37999725341797,0.26998692299243443,1.1741762288815893,196420.37573781583,2.46251543464369
KLAC,1888.3800048828125,0.2115091437448439,0.9959840740116759,309339.5327122508,2.454562093802392
SATS,124.1999969482422,0.4475021822523781,1.520020173325519,94.55136333429785,2.4528433410671937
EFXT,27.399999618530273,0.35182853208394826,0.7447684542552274,221007.03763479303,2.452012860841993
CW,731.239990234375,0.17049046057602577,1.2807719850021388,239935.5434074924,2.4447284953486585
TYRA,32.470001220703125,0.43679816096869556,1.1111045447943562,1328.0639207323368,2.438842571100351
RVMD,151.55999755859375,0.41112950860180647,1.2631187584019914,192.6463676407177,2.424478663490373
BTSG,58.5,0.2506929653348773,1.2333470336050436,135445.37919767495,2.415891673460904
VISN,12.300000190734863,0.38758661783584625,1.4539115706032644,32.68607004347064,2.407478786136579
HYPD,3.619999885559082,0.4426743225725529,1.5790218041890853,3.3601279534404784,2.378085435029278
ECPG,80.19999694824219,0.21344282112347604,1.0910953168949764,157590.69854196496,2.36769400286532
RIG,6.809999942779541,0.24654786414622032,1.0825952219384551,190896.42743466428,2.328609352458255
MOVE,22.88999938964844,0.34985596180209344,1.3180975364155032,48.3477888106412,2.2781106648756606
DBVT,18.18000030517578,0.48772291184563904,1.5299278886757761,16.8953522440388,2.250914747475327
VELO,23.059999465942383,0.6490822935326837,1.4731987806695193,9.513178238096822,2.2422222937381155
SBET,6.230000019073486,0.3940799852651312,1.8444017709716143,2.741271588389529,2.2412238162555895
HUT,105.9000015258789,0.41639376662614097,1.2615569042667163,100.23813007571468,2.232964320317354
ASTI,5.360000133514404,0.5105296770521682,1.6137481982060058,8.027590129701315,2.226523617668371
CHRN,15.484999656677246,0.35664184636343127,1.2688151720405705,191.07814858815294,2.2026386349657123
FIVE,219.5,0.21214812815431436,1.1006124948522569,4775.563974733844,2.1805831007729326
VOR,14.329999923706056,0.4755275415903128,1.7351324569681832,2.7932741768407956,2.173710525278241
AEIS,324.8599853515625,0.3189795947633659,1.2664917644532825,220.21609384001795,2.1454617007234846
QUIK,20.11000061035156,0.27312989992100556,1.5416685102566074,43.18138900812886,2.1311897063558862
ECO,54.06999969482422,0.23644407515957905,0.9256920538260958,160064.5335053527,2.1165239203901316
NVTS,29.25,0.4520329725602363,1.6930184278327258,11.909407216743322,2.0979258129886644
PVLA,113.98999786376952,0.4562946134130955,1.1257016798609374,132.9055254871989,2.084325823803922
WULF,22.81999969482422,0.4429509263167401,1.2005924058518187,43.76264556071071,2.0565807347174454
BFLY,4.46999979019165,0.35701037763893395,1.1806292997055081,682.1765462110274,2.049504079904894
RGTI,26.420000076293945,0.4402578275648604,1.918307448585212,4.434311965846619,2.036723515066123
SKYT,37.209999084472656,0.3847922698662525,1.1222287774199329,139.91187979725464,2.0017894294290963
NPKI,15.520000457763672,0.16193252821981732,1.1025131026136017,255167.05544811784,1.9988213929705256
KW,10.989999771118164,0.11296514591807269,1.4634260113236697,77044.86485100612,1.996567875567059
WATT,29.239999771118164,0.5710290169237193,1.8361312646151784,5.735532052950572,1.9822584659593936
UAMY,8.420000076293945,0.46124869446943834,1.3483664824829227,20.3176769070194,1.977522101933651
SKE,28.280000686645508,0.33836975722603935,1.4688131160618885,56.13889372338783,1.977127701223333
SIMO,276.1400146484375,0.2819872375336123,1.4887177018471458,79.07375343377663,1.9698041159787258
CTMX,3.759999990463257,0.4699001749435271,1.6120437200432651,9.703843164220624,1.9637904789726357
UCTT,84.01000213623047,0.44892360747931936,1.309957578995061,40.2280546289556,1.9331401581706678
BHE,85.12000274658203,0.19349987664684992,1.147135601416296,137753.6018650265,1.9307530888392095
TSEM,283.42999267578125,0.4753911708643317,0.8320097782046252,360.0691659804189,1.9121681001344621
INSW,83.5199966430664,0.22565149617076025,1.004081934452833,10207.349003678562,1.9059705645954614
CYPH,1.2000000476837158,0.6090263554331419,1.4073438698000225,4.948234703885898,1.9023814972309179
STRO,25.56999969482422,0.49793714413517703,1.3573803527868402,41.0541437909076,1.8947263698840837
TK,13.34000015258789,0.17854578090596004,0.9830981334551622,166659.34701591838,1.8933862319124497
BTE,5.150000095367432,0.238850228836,0.9259250904390156,178864.08035160176,1.882457136382388
LAR,9.1899995803833,0.36250230371973596,0.889788723519354,5714.239721052561,1.8809171221602865
OMER,11.460000038146973,0.4735835453130266,1.344075574847095,13.558205608277946,1.8744565487302873
MNPR,63.119998931884766,0.3393916806222853,2.1399827737866204,5.4268759148422125,1.873151671931275
OUT,33.599998474121094,0.19962631845460027,0.9674364558139894,136848.75309482534,1.8692689796186293
LUNR,38.2599983215332,0.4144039913628661,1.086072306853767,210.71462933228656,1.843528682491372
MSGS,353.8699951171875,0.16375068073360344,1.2529777094614976,120283.0375257087,1.8342073580934461
OLMA,13.68000030517578,0.6488195991219347,1.571517470624927,5.411969692887357,1.8217189380466752
PALI,1.950000047683716,0.3115231753046261,2.1471906892559383,7.744124838215829,1.8178003166965981
HAL,41.470001220703125,0.16262696441714075,1.0918153066670333,134477.3169688896,1.8128892056448345
IRWD,3.9200000762939458,0.524013171230455,1.4498385456013865,10.061634379250034,1.8105766904919411
TS,61.61000061035156,0.17993814500877395,1.1752596875763048,136135.83624842553,1.8069429441997782
TALO,16.040000915527344,0.15217314335232823,1.1216311574146576,117690.33897583712,1.8042504621948818
AEVA,25.31999969482422,0.39495400400047426,1.754579176771005,4.695647152231864,1.7977426276492268
ASTS,105.86000061035156,0.49496653064916213,1.0966452005841418,13.878051401929316,1.7968287295854852
VIST,75.41000366210938,0.1905009914649027,0.9667113059141332,156912.02864937953,1.7957215704513392
TSM,404.5199890136719,0.1761891314002301,1.1001288691873552,84241.79360846156,1.7713634154175941
SOGP,13.15999984741211,0.7365968158978503,0.8755420052248724,9.715123690007989,1.769011112156003
HSBC,92.0199966430664,0.13488656018431888,1.2762368247855793,174484.8405512117,1.7655595743766095
VAL,101.16999816894533,0.2787243633721698,1.390716329258705,124.12920757672244,1.7614779027316374
TE,8.079999923706055,0.5965217834238935,1.3753870999326345,7.876692561010769,1.7291449104674015
IREN,56.83000183105469,0.43501675926167427,1.5690452872333345,8.063390553391622,1.7205180816918781
LINC,48.400001525878906,0.31359099074707725,1.101322790277281,1398.5468995505964,1.7156872291125655
EVC,9.84000015258789,0.2685187236697169,1.2053472316699916,84.9581191336388,1.714419338508986
GCT,38.189998626708984,0.22485707584241177,1.2031738441444895,1360.7209908154534,1.7088036911023636
SVM,11.829999923706056,0.3470287429025016,1.0331912346676089,151.58104069440222,1.685576030963715
LION,14.949999809265137,0.15961683050853104,1.1204738868352682,146272.7551144905,1.6763152919726672
VRT,327.4599914550781,0.3431519792381845,1.0414301036848288,142.253153862434,1.6721758866652747
HWM,256.54998779296875,0.16441671158827248,1.2303189069192222,4788.32358498012,1.6645595436571572
CGON,64.25,0.2587847234067394,1.2157919617720658,448.5535006631337,1.6599405334853081
BAND,61.38999938964844,0.269868526030053,2.0500942482400015,6.988655841900447,1.6536493273419315
SII,124.91999816894533,0.3066416664415275,1.1916843138476112,97.27740401630331,1.6508876462249702
AIP,36.279998779296875,0.33130399624894813,1.3840800197153156,26.704000462883876,1.6490493847559893
LXU,13.039999961853027,0.22199115568658978,1.4853156619254335,199.68604099329082,1.6427189721170488
ISSC,16.40999984741211,0.47378359043487783,1.4731483492620954,9.84709741738262,1.642335134892067
COHU,46.529998779296875,0.21071946457471158,1.1521209263742889,1340.426316075882,1.616886146619233
RIO,104.2300033569336,0.1538745106445671,1.1471300018073325,112876.81741037368,1.6159867787606763
CCO,2.4000000953674316,0.19219471188836107,1.3899998336911121,3092.500659132773,1.6148229576621875
MSGE,69.63999938964844,0.14902302295707537,1.1981116652704609,94407.20275712445,1.605849303930925
TALK,5.199999809265137,0.22886255912172593,0.8476777406447644,175928.84201708378,1.6021945269591673
EZPW,33.790000915527344,0.21585850518241817,0.912553826935574,141890.85021813426,1.5869572021790705
TPC,72.76000213623047,0.2558952366256695,1.3543709969703168,57.50873542542662,1.575443794495999
PSMT,164.64999389648438,0.13098342399464497,1.207176656425319,87177.93543248436,1.5723026814351677
CRML,10.979999542236328,0.3743796313884608,1.2938358553897014,6.890486939687363,1.5706329183241974
MOV,28.450000762939453,0.1326326600728185,1.0872376365387755,99301.64886639541,1.5576506340909886
CGEM,13.84000015258789,0.2383107082209607,1.1812378685171634,2018.3839419609542,1.5567332598907622
TTE,91.5999984741211,0.13937701595047197,1.3464599507275605,109111.40903794127,1.5540457066175628
ARWR,74.94999694824219,0.42081502614844807,1.3233115872126486,19.892176733965773,1.5501462657255989
FBRX,21.59000015258789,0.4689701074979233,1.3021605885665561,13.4616088431801,1.5402994254798503
APLD,45.869998931884766,0.38364671529860744,1.3141939274337207,15.054363803438857,1.5370895269698266
AMPX,16.030000686645508,0.5115187315503189,1.147457054656355,12.733191437300555,1.536399487663008
CRVS,12.609999656677246,0.5495441433259757,1.133587615922455,11.86467286175278,1.5336617487439885
ENS,232.2400054931641,0.21015989650689057,0.9718497869424794,144569.30993060576,1.5244147675568498
APGE,81.16000366210938,0.2601308502728937,1.6532682543266881,29.886755345872217,1.5238446071100973
JBHT,258.7699890136719,0.15344478973755138,1.1260908597037511,125679.77972956523,1.5189576520773969
HG,31.549999237060547,0.13432669694349483,1.1374923617325865,77645.32912970289,1.5140814775115248
ALB,171.5800018310547,0.30806728358361923,1.0622022974910794,286.566659899514,1.5076614143346312
GSAT,83.0,0.3402212636915636,1.3680645657410615,21.992957087180052,1.492042685355686
PSIX,38.869998931884766,0.336874071094461,1.6075157332245549,5.464884752542704,1.4827021497068502
LAES,3.380000114440918,0.26357435550831315,1.9336220450912753,2.370017186345559,1.4814974191542722
TEN,42.61000061035156,0.23825048329016288,1.310396397600222,144.32418803879426,1.4776433360769177
INVX,30.049999237060547,0.13369666128028385,1.0744137620439638,101360.2461718572,1.4425392632901348
CGTX,1.2599999904632568,0.2967891347077243,1.66296737335908,2.9145975541776035,1.4386962078112573
BORR,5.519999980926514,0.27896700257065277,1.0496275600343286,212.97150915561855,1.438199205822202
REX,48.77000045776367,0.17176142301140201,1.324718472599465,959.9725079534721,1.4355634136055295
FN,703.8599853515625,0.25352028523557774,1.0791520066644675,267.967873244602,1.4317952332334605
DAN,34.15999984741211,0.26219727089155836,1.0217124712505148,366.86047153853906,1.419320233713361
CIFR,21.969999313354492,0.41040895391248644,1.6014602427879332,8.918850796151462,1.4107199938335102
DGII,66.16000366210938,0.16765440612637372,0.9076149755435694,110331.1621395302,1.4041793662366997
